dataset,half,split_seed,group,nominal_rows,unique_rows,pool_rows_in_group
waterbirds,cal,0,0,1245,713,1011
waterbirds,cal,0,1,66,65,1005
waterbirds,cal,0,2,66,59,301
waterbirds,cal,0,3,1245,300,305
waterbirds,test,0,0,1245,720,1048
waterbirds,test,0,1,66,62,1010
waterbirds,test,0,2,66,56,272
waterbirds,test,0,3,1245,290,293
waterbirds,cal,1,0,1245,707,1002
waterbirds,cal,1,1,66,61,1024
waterbirds,cal,1,2,66,56,310
waterbirds,cal,1,3,1245,284,286
waterbirds,test,1,0,1245,742,1057
waterbirds,test,1,1,66,65,991
waterbirds,test,1,2,66,57,263
waterbirds,test,1,3,1245,308,312
waterbirds,cal,2,0,1245,725,1029
waterbirds,cal,2,1,66,64,1016
waterbirds,cal,2,2,66,60,291
waterbirds,cal,2,3,1245,281,286
waterbirds,test,2,0,1245,713,1030
waterbirds,test,2,1,66,64,999
waterbirds,test,2,2,66,58,282
waterbirds,test,2,3,1245,306,312
waterbirds,cal,3,0,1245,737,1038
waterbirds,cal,3,1,66,64,1027
waterbirds,cal,3,2,66,59,273
waterbirds,cal,3,3,1245,281,284
waterbirds,test,3,0,1245,719,1021
waterbirds,test,3,1,66,65,988
waterbirds,test,3,2,66,58,300
waterbirds,test,3,3,1245,308,314
waterbirds,cal,4,0,1245,726,1026
waterbirds,cal,4,1,66,66,1025
waterbirds,cal,4,2,66,57,274
waterbirds,cal,4,3,1245,291,297
waterbirds,test,4,0,1245,720,1033
waterbirds,test,4,1,66,64,990
waterbirds,test,4,2,66,61,299
waterbirds,test,4,3,1245,295,301
waterbirds,cal,5,0,1245,741,1034
waterbirds,cal,5,1,66,65,998
waterbirds,cal,5,2,66,60,282
waterbirds,cal,5,3,1245,303,308
waterbirds,test,5,0,1245,723,1025
waterbirds,test,5,1,66,65,1017
waterbirds,test,5,2,66,64,291
waterbirds,test,5,3,1245,285,290
waterbirds,cal,6,0,1245,720,1014
waterbirds,cal,6,1,66,62,1019
waterbirds,cal,6,2,66,58,297
waterbirds,cal,6,3,1245,290,292
waterbirds,test,6,0,1245,726,1045
waterbirds,test,6,1,66,64,996
waterbirds,test,6,2,66,59,276
waterbirds,test,6,3,1245,300,306
waterbirds,cal,7,0,1245,731,1020
waterbirds,cal,7,1,66,63,1024
waterbirds,cal,7,2,66,60,273
waterbirds,cal,7,3,1245,302,305
waterbirds,test,7,0,1245,745,1039
waterbirds,test,7,1,66,63,991
waterbirds,test,7,2,66,62,300
waterbirds,test,7,3,1245,286,293
waterbirds,cal,8,0,1245,724,1001
waterbirds,cal,8,1,66,64,999
waterbirds,cal,8,2,66,61,298
waterbirds,cal,8,3,1245,315,324
waterbirds,test,8,0,1245,744,1058
waterbirds,test,8,1,66,66,1016
waterbirds,test,8,2,66,61,275
waterbirds,test,8,3,1245,272,274
waterbirds,cal,9,0,1245,731,1014
waterbirds,cal,9,1,66,62,997
waterbirds,cal,9,2,66,64,316
waterbirds,cal,9,3,1245,290,295
waterbirds,test,9,0,1245,725,1045
waterbirds,test,9,1,66,65,1018
waterbirds,test,9,2,66,58,257
waterbirds,test,9,3,1245,298,303
celeba,cal,0,0,7095,4453,6915
celeba,cal,0,1,373,358,5955
celeba,cal,0,2,373,337,1930
celeba,cal,0,3,7095,136,136
celeba,test,0,0,7095,4365,6737
celeba,test,0,1,373,361,5961
celeba,test,0,2,373,344,2093
celeba,test,0,3,7095,145,145
celeba,cal,1,0,7095,4383,6775
celeba,cal,1,1,373,364,5990
celeba,cal,1,2,373,348,2027
celeba,cal,1,3,7095,144,144
celeba,test,1,0,7095,4392,6877
celeba,test,1,1,373,360,5926
celeba,test,1,2,373,346,1996
celeba,test,1,3,7095,137,137
celeba,cal,2,0,7095,4408,6806
celeba,cal,2,1,373,356,5990
celeba,cal,2,2,373,338,2000
celeba,cal,2,3,7095,140,140
celeba,test,2,0,7095,4391,6846
celeba,test,2,1,373,357,5926
celeba,test,2,2,373,331,2023
celeba,test,2,3,7095,141,141
celeba,cal,3,0,7095,4408,6822
celeba,cal,3,1,373,367,6009
celeba,cal,3,2,373,338,1962
celeba,cal,3,3,7095,143,143
celeba,test,3,0,7095,4411,6830
celeba,test,3,1,373,354,5907
celeba,test,3,2,373,339,2061
celeba,test,3,3,7095,138,138
celeba,cal,4,0,7095,4467,6866
celeba,cal,4,1,373,362,5931
celeba,cal,4,2,373,347,1998
celeba,cal,4,3,7095,141,141
celeba,test,4,0,7095,4419,6786
